direct-sum2d,triNNity::generic::CONV_DIRECT_SUM_2D
im2row-scan-ab-ik,triNNity::generic::CONV_IM2ROW_SCAN_A_B_I_K
im2row-scan-atbt-ki,triNNity::generic::CONV_IM2ROW_SCAN_AT_BT_K_I
im2row-scan-abt-ik,triNNity::generic::CONV_IM2ROW_SCAN_A_BT_I_K
im2row-scan-abt-ki,triNNity::generic::CONV_IM2ROW_SCAN_A_BT_K_I
im2row-copy-short-ab-ik,triNNity::generic::CONV_IM2ROW_COPY_SHORT_A_B_I_K
im2row-copy-short-atbt-ki,triNNity::generic::CONV_IM2ROW_COPY_SHORT_AT_BT_K_I
im2row-copy-short-abt-ik,triNNity::generic::CONV_IM2ROW_COPY_SHORT_A_BT_I_K
im2row-copy-short-abt-ki,triNNity::generic::CONV_IM2ROW_COPY_SHORT_A_BT_K_I
im2col-scan-atb-ik,triNNity::generic::CONV_IM2COL_SCAN_AT_B_I_K
im2col-scan-atb-ki,triNNity::generic::CONV_IM2COL_SCAN_AT_B_K_I
im2col-scan-atbt-ik,triNNity::generic::CONV_IM2COL_SCAN_AT_BT_I_K
im2col-scan-ab-ki,triNNity::generic::CONV_IM2COL_SCAN_A_B_K_I
im2col-copy-short-atb-ik,triNNity::generic::CONV_IM2COL_COPY_SHORT_AT_B_I_K
im2col-copy-short-atb-ki,triNNity::generic::CONV_IM2COL_COPY_SHORT_AT_B_K_I
im2col-copy-short-atbt-ik,triNNity::generic::CONV_IM2COL_COPY_SHORT_AT_BT_I_K
im2col-copy-short-ab-ki,triNNity::generic::CONV_IM2COL_COPY_SHORT_A_B_K_I
im2col-copy-long-atb-ik,triNNity::generic::CONV_IM2COL_COPY_LONG_AT_B_I_K
im2col-copy-long-atb-ki,triNNity::generic::CONV_IM2COL_COPY_LONG_AT_B_K_I
im2col-copy-long-atbt-ik,triNNity::generic::CONV_IM2COL_COPY_LONG_AT_BT_I_K
im2col-copy-long-ab-ki,triNNity::generic::CONV_IM2COL_COPY_LONG_A_B_K_I
im2col-copy-self-atb-ik,triNNity::generic::CONV_IM2COL_COPY_SELF_AT_B_I_K
im2col-copy-self-atb-ki,triNNity::generic::CONV_IM2COL_COPY_SELF_AT_B_K_I
im2col-copy-self-atbt-ik,triNNity::generic::CONV_IM2COL_COPY_SELF_AT_BT_I_K
im2col-copy-self-ab-ki,triNNity::generic::CONV_IM2COL_COPY_SELF_A_B_K_I
mec-row-partition,triNNity::generic::CONV_MEC_ROW
mec-col,triNNity::generic::CONV_MEC_COL
kn2row,triNNity::generic::CONV_KN2ROW
kn2col,triNNity::generic::CONV_KN2COL
kn2row-as,triNNity::generic::CONV_KN2ROW_AS
kn2col-as,triNNity::generic::CONV_KN2COL_AS
kn2row-aa-ab,triNNity::generic::CONV_KN2ROW_AA_AB
kn2row-aa-abt,triNNity::generic::CONV_KN2ROW_AA_ABT
kn2row-aa-atb,triNNity::generic::CONV_KN2ROW_AA_ATB
kn2row-aa-atbt,triNNity::generic::CONV_KN2ROW_AA_ATBT
conv-1x1-gemm-ab-ik,triNNity::generic::CONV_1X1_AB_IK
conv-1x1-gemm-abt-ik,triNNity::generic::CONV_1X1_ABT_IK
conv-1x1-gemm-atb-ik,triNNity::generic::CONV_1X1_ATB_IK
conv-1x1-gemm-atbt-ik,triNNity::generic::CONV_1X1_ATBT_IK
conv-1x1-gemm-ab-ki,triNNity::generic::CONV_1X1_AB_KI
conv-1x1-gemm-abt-ki,triNNity::generic::CONV_1X1_ABT_KI
conv-1x1-gemm-atb-ki,triNNity::generic::CONV_1X1_ATB_KI
conv-1x1-gemm-atbt-ki,triNNity::generic::CONV_1X1_ATBT_KI
winograd-2-3-vec-4,triNNity::generic::CONV_WINO_2_3_VEC_4
winograd-2x2-3x3-vec-4,triNNity::generic::CONV_WINO_2X2_3X3_VEC_4
winograd-3-3-vec-4,triNNity::generic::CONV_WINO_3_3_VEC_4
winograd-3x3-3x3-vec-4,triNNity::generic::CONV_WINO_3X3_3X3_VEC_4
winograd-2-5-vec-4,triNNity::generic::CONV_WINO_2_5_VEC_4
winograd-2x2-5x5-vec-4,triNNity::generic::CONV_WINO_2X2_5X5_VEC_4
winograd-3-5-vec-4,triNNity::generic::CONV_WINO_3_5_VEC_4
winograd-3x3-5x5-vec-4,triNNity::generic::CONV_WINO_3X3_5X5_VEC_4
